category_name,brand_name,month,trends_index,raw_index,batch,scale_factor,stitch_flag
Online Outlet Retailer,David Jones,2021-08-01,4.0,4.0,0,1.0,
Online Outlet Retailer,David Jones,2021-09-01,10.0,10.0,0,1.0,
Online Outlet Retailer,David Jones,2021-10-01,18.4,18.4,0,1.0,
Online Outlet Retailer,David Jones,2021-11-01,45.25,45.25,0,1.0,
Online Outlet Retailer,David Jones,2021-12-01,39.25,39.25,0,1.0,
Online Outlet Retailer,David Jones,2022-01-01,22.0,22.0,0,1.0,
Online Outlet Retailer,David Jones,2022-02-01,21.75,21.75,0,1.0,
Online Outlet Retailer,David Jones,2022-03-01,26.25,26.25,0,1.0,
Online Outlet Retailer,David Jones,2022-04-01,26.25,26.25,0,1.0,
Online Outlet Retailer,David Jones,2022-05-01,25.2,25.2,0,1.0,
Online Outlet Retailer,David Jones,2022-06-01,29.25,29.25,0,1.0,
Online Outlet Retailer,David Jones,2022-07-01,22.8,22.8,0,1.0,
Online Outlet Retailer,David Jones,2022-08-01,22.25,22.25,0,1.0,
Online Outlet Retailer,David Jones,2022-09-01,23.25,23.25,0,1.0,
Online Outlet Retailer,David Jones,2022-10-01,24.0,24.0,0,1.0,
Online Outlet Retailer,David Jones,2022-11-01,51.0,51.0,0,1.0,
Online Outlet Retailer,David Jones,2022-12-01,41.75,41.75,0,1.0,
Online Outlet Retailer,David Jones,2023-01-01,26.8,26.8,0,1.0,
Online Outlet Retailer,David Jones,2023-02-01,24.5,24.5,0,1.0,
Online Outlet Retailer,David Jones,2023-03-01,20.75,20.75,0,1.0,
Online Outlet Retailer,David Jones,2023-04-01,20.6,20.6,0,1.0,
Online Outlet Retailer,David Jones,2023-05-01,23.0,23.0,0,1.0,
Online Outlet Retailer,David Jones,2023-06-01,25.5,25.5,0,1.0,
Online Outlet Retailer,David Jones,2023-07-01,19.2,19.2,0,1.0,
Online Outlet Retailer,David Jones,2023-08-01,20.25,20.25,0,1.0,
Online Outlet Retailer,David Jones,2023-09-01,19.75,19.75,0,1.0,
Online Outlet Retailer,David Jones,2023-10-01,9.2,9.2,0,1.0,
Online Outlet Retailer,David Jones,2023-11-01,0.5,0.5,0,1.0,
