time [UTC],R.M.Williams,Swanndri,Thomas Cook
2021-08-01,4.0,0.0,3.0
2021-09-01,15.25,0.25,3.75
2021-10-01,5.8,0.0,4.0
2021-11-01,3.5,0.25,4.25
2021-12-01,1.5,0.25,3.5
2022-01-01,3.4,0.0,3.2
2022-02-01,21.5,0.75,3.75
2022-03-01,55.0,1.25,5.0
2022-04-01,67.25,1.25,6.5
2022-05-01,85.6,2.4,6.4
2022-06-01,81.25,2.25,5.75
2022-07-01,76.8,2.0,5.6
2022-08-01,71.75,1.25,5.75
2022-09-01,36.75,0.75,5.75
2022-10-01,64.8,0.8,4.6
2022-11-01,71.0,0.75,4.75
2022-12-01,45.0,0.75,5.0
2023-01-01,24.2,0.4,4.8
2023-02-01,23.25,0.5,5.25
2023-03-01,15.0,1.25,5.0
2023-04-01,18.8,1.8,6.0
2023-05-01,32.5,2.5,6.75
2023-06-01,29.5,2.25,6.25
2023-07-01,40.6,1.6,5.2
2023-08-01,69.25,1.0,5.25
2023-09-01,48.75,0.5,4.0
2023-10-01,24.8,0.4,4.0
2023-11-01,36.75,1.0,5.0
2023-12-01,41.6,0.0,4.4
2024-01-01,20.0,0.25,4.25
2024-02-01,20.5,0.0,3.75
2024-03-01,27.2,1.0,4.8
2024-04-01,34.0,1.75,5.75
2024-05-01,33.5,2.0,5.25
2024-06-01,33.0,2.4,5.2
2024-07-01,32.25,1.75,5.75
2024-08-01,35.5,1.0,5.0
2024-09-01,29.2,0.4,4.4
2024-10-01,25.25,0.5,4.25
2024-11-01,42.25,0.25,4.25
2024-12-01,47.4,0.2,4.8
2025-01-01,25.0,0.25,4.25
2025-02-01,25.75,0.5,4.0
2025-03-01,25.8,1.0,4.2
