time [UTC],Smith's,Arnott’s,Cadbury,Carman's,Doritos
2021-08-01,0.0,0.0,45.0,0.0,15.0
2021-09-01,0.0,0.0,32.0,0.0,14.75
2021-10-01,0.0,0.0,23.2,0.0,13.4
2021-11-01,0.0,0.0,29.0,0.0,11.0
2021-12-01,0.0,0.0,32.25,0.0,11.0
2022-01-01,0.0,0.0,24.8,0.0,12.4
2022-02-01,0.0,0.0,33.5,0.0,13.25
2022-03-01,0.0,0.0,47.25,0.0,12.75
2022-04-01,0.0,0.0,66.25,0.0,14.25
2022-05-01,0.0,0.0,30.8,0.0,16.8
2022-06-01,0.0,0.0,42.75,0.0,16.5
2022-07-01,0.0,0.0,39.4,0.0,14.0
2022-08-01,0.0,0.0,36.25,0.0,14.75
2022-09-01,0.0,0.0,32.0,0.0,15.5
2022-10-01,0.0,0.0,33.2,0.0,14.4
2022-11-01,0.0,0.0,34.5,0.0,15.25
2022-12-01,0.0,0.0,34.5,0.0,16.0
2023-01-01,0.0,0.0,27.6,0.0,14.0
2023-02-01,0.0,0.0,29.0,0.0,15.25
2023-03-01,0.0,0.0,40.75,0.0,14.25
2023-04-01,0.0,0.0,43.6,0.0,14.2
2023-05-01,0.0,0.0,27.5,0.0,16.25
2023-06-01,0.0,0.0,25.0,0.0,16.0
2023-07-01,0.0,0.0,28.0,0.0,15.8
2023-08-01,0.0,0.0,28.25,0.0,16.25
2023-09-01,0.0,0.0,25.25,0.0,17.0
2023-10-01,0.0,0.0,28.0,0.0,19.0
2023-11-01,0.0,0.0,31.75,0.0,16.0
2023-12-01,0.0,0.0,34.2,0.0,17.0
2024-01-01,0.0,0.0,24.75,0.0,13.75
2024-02-01,0.0,0.0,30.0,0.0,15.0
2024-03-01,0.0,0.0,61.8,0.0,15.0
2024-04-01,0.5,0.0,30.5,0.0,14.0
2024-05-01,0.0,0.0,28.75,0.0,15.0
2024-06-01,0.0,0.0,27.8,0.0,15.4
2024-07-01,0.0,0.0,31.0,0.0,17.0
2024-08-01,0.0,0.0,26.5,0.0,16.25
2024-09-01,0.0,0.0,22.2,0.0,18.2
2024-10-01,0.0,0.0,27.25,0.0,17.75
2024-11-01,0.0,0.0,29.75,0.0,18.75
2024-12-01,0.0,0.0,41.8,0.0,16.8
2025-01-01,0.0,0.0,36.25,0.0,16.25
2025-02-01,0.0,0.0,33.25,0.0,16.75
2025-03-01,0.0,0.0,45.0,0.0,17.6
