time [UTC],Smith's,Sakata
2021-08-01,0.0,28.0
2021-09-01,0.0,31.75
2021-10-01,0.0,38.4
2021-11-01,0.0,26.5
2021-12-01,0.0,32.0
2022-01-01,0.0,33.6
2022-02-01,0.0,33.5
2022-03-01,0.0,33.5
2022-04-01,0.0,31.25
2022-05-01,0.0,41.6
2022-06-01,0.0,38.25
2022-07-01,0.0,34.4
2022-08-01,0.0,45.0
2022-09-01,0.0,41.25
2022-10-01,0.0,39.6
2022-11-01,0.0,41.75
2022-12-01,0.0,29.5
2023-01-01,0.0,42.4
2023-02-01,0.0,45.75
2023-03-01,0.0,44.25
2023-04-01,0.0,27.8
2023-05-01,0.0,40.5
2023-06-01,0.0,35.0
2023-07-01,0.0,43.4
2023-08-01,0.0,45.0
2023-09-01,0.0,43.75
2023-10-01,0.0,44.0
2023-11-01,0.0,38.0
2023-12-01,0.0,44.8
2024-01-01,0.0,45.5
2024-02-01,0.0,45.5
2024-03-01,0.0,54.4
2024-04-01,8.0,43.0
2024-05-01,0.0,38.25
2024-06-01,0.0,49.0
2024-07-01,0.0,48.75
2024-08-01,0.0,69.5
2024-09-01,0.0,69.0
2024-10-01,0.0,51.25
2024-11-01,0.0,55.0
2024-12-01,0.0,51.8
2025-01-01,0.0,48.75
2025-02-01,0.0,48.5
2025-03-01,0.0,58.8
