time [UTC],Myer,The DOM,The Iconic,Westfield
2021-08-01,0.0,0.0,21.0,8.0
2021-09-01,0.0,0.0,24.0,9.25
2021-10-01,1.6,0.2,24.2,19.4
2021-11-01,2.5,0.25,29.5,25.5
2021-12-01,2.25,0.0,20.5,48.75
2022-01-01,0.0,0.2,20.4,19.0
2022-02-01,0.0,0.0,33.25,17.75
2022-03-01,0.0,0.75,41.5,18.75
2022-04-01,0.0,0.25,40.25,29.5
2022-05-01,0.8,0.0,46.4,21.6
2022-06-01,1.25,0.0,43.0,27.0
2022-07-01,2.0,0.0,41.6,25.8
2022-08-01,0.25,0.0,41.5,25.5
2022-09-01,0.25,0.0,42.5,32.0
2022-10-01,1.8,0.2,42.4,31.0
2022-11-01,2.0,0.0,55.25,31.75
2022-12-01,2.25,0.25,43.75,67.5
2023-01-01,1.8,0.4,32.0,30.8
2023-02-01,1.0,0.75,33.0,23.25
2023-03-01,0.0,0.25,33.5,23.75
2023-04-01,0.8,0.2,35.0,34.0
2023-05-01,2.0,0.75,38.5,23.5
2023-06-01,2.0,0.75,37.0,25.75
2023-07-01,1.6,1.0,31.6,28.0
2023-08-01,2.0,0.5,31.5,24.0
2023-09-01,2.0,0.75,33.0,26.25
2023-10-01,0.6,1.0,32.6,24.4
2023-11-01,0.0,1.0,42.25,32.75
2023-12-01,0.0,1.0,31.8,60.2
2024-01-01,0.0,1.0,25.5,27.0
2024-02-01,0.0,1.0,24.5,22.75
2024-03-01,0.0,0.6,24.6,25.0
2024-04-01,0.0,1.0,27.0,49.0
2024-05-01,0.0,1.0,28.25,21.25
2024-06-01,0.0,0.8,25.8,22.4
2024-07-01,0.0,1.0,25.25,21.5
2024-08-01,0.0,1.0,27.0,20.5
2024-09-01,0.0,1.0,26.8,20.2
2024-10-01,0.0,1.0,25.75,21.5
2024-11-01,0.0,1.25,40.25,28.5
2024-12-01,0.0,1.2,28.8,55.4
2025-01-01,0.0,1.0,22.0,23.0
2025-02-01,0.0,1.0,22.5,19.5
2025-03-01,0.0,0.4,23.4,20.2
