time [UTC],Decor,Fressko,Hydro Flask,Owala,Smash
2021-08-01,0.0,0.0,18.0,0.0,0.0
2021-09-01,0.0,0.0,16.75,0.0,0.0
2021-10-01,0.0,0.0,13.6,0.4,0.0
2021-11-01,0.0,0.5,23.5,0.0,0.0
2021-12-01,0.0,0.0,28.75,0.0,0.0
2022-01-01,0.0,0.6,30.4,0.0,0.4
2022-02-01,0.0,1.25,33.25,0.5,0.0
2022-03-01,0.0,1.0,27.0,0.0,0.0
2022-04-01,0.0,1.75,20.5,0.0,0.0
2022-05-01,0.0,1.2,19.6,0.0,0.0
2022-06-01,0.0,0.0,17.25,0.0,0.0
2022-07-01,0.0,0.0,29.6,0.0,0.0
2022-08-01,0.0,0.0,33.25,0.0,0.0
2022-09-01,0.0,0.0,25.25,0.0,0.0
2022-10-01,0.0,0.0,27.8,3.0,0.0
2022-11-01,0.0,1.25,37.5,2.0,0.0
2022-12-01,0.0,0.0,42.5,0.5,0.0
2023-01-01,0.0,0.0,36.2,2.8,0.0
2023-02-01,0.0,0.0,40.5,1.25,0.0
2023-03-01,0.0,0.5,35.25,2.75,0.0
2023-04-01,0.0,2.6,14.4,2.2,0.0
2023-05-01,0.0,1.5,20.0,3.25,0.0
2023-06-01,0.0,1.5,19.5,2.75,0.0
2023-07-01,0.0,2.0,20.0,6.6,0.0
2023-08-01,0.0,0.75,23.5,15.75,0.0
2023-09-01,0.0,1.75,18.5,11.25,0.0
2023-10-01,0.0,2.2,17.0,11.6,0.0
2023-11-01,0.0,3.0,30.75,40.25,0.0
2023-12-01,0.0,0.0,33.8,36.4,0.0
2024-01-01,0.0,2.5,29.25,40.75,0.0
2024-02-01,0.0,3.25,26.25,50.25,0.0
2024-03-01,0.0,0.4,25.2,47.4,0.0
2024-04-01,0.0,0.0,19.75,49.5,0.0
2024-05-01,0.0,2.0,19.25,45.5,0.0
2024-06-01,0.0,3.6,15.2,42.4,0.0
2024-07-01,0.5,1.75,16.75,55.25,0.0
2024-08-01,1.5,0.5,17.25,78.5,0.0
2024-09-01,0.4,4.0,16.6,59.4,0.0
2024-10-01,1.0,4.75,19.0,62.0,0.0
2024-11-01,0.0,4.75,29.5,87.5,0.0
2024-12-01,0.6,5.2,30.2,88.0,0.0
2025-01-01,0.0,6.75,22.25,73.75,0.0
2025-02-01,0.5,5.5,24.0,77.0,0.0
2025-03-01,0.4,5.8,17.6,71.2,0.0
