time [UTC],Decor,Stanley,Waterdrop,Yeti,frank green
2021-08-01,0.0,0.0,0.0,13.0,6.0
2021-09-01,0.0,0.0,0.0,10.0,6.0
2021-10-01,0.0,0.0,0.0,11.8,6.8
2021-11-01,0.0,0.0,0.0,19.25,10.5
2021-12-01,0.0,0.0,0.0,25.75,11.0
2022-01-01,0.0,0.0,0.0,17.2,16.6
2022-02-01,0.0,0.0,0.0,15.0,39.75
2022-03-01,0.0,0.0,0.0,14.75,27.25
2022-04-01,0.0,0.0,0.0,14.25,19.5
2022-05-01,0.0,0.0,0.0,13.0,22.0
2022-06-01,0.0,0.0,0.0,11.75,18.75
2022-07-01,0.0,0.0,0.0,13.4,18.2
2022-08-01,0.0,0.0,0.0,19.0,24.25
2022-09-01,0.0,0.0,0.0,14.5,19.0
2022-10-01,0.0,0.0,0.0,18.2,21.4
2022-11-01,0.0,0.0,0.0,29.75,35.0
2022-12-01,0.0,0.0,0.0,42.5,39.75
2023-01-01,0.0,0.0,0.0,31.4,35.6
2023-02-01,0.0,0.0,0.0,29.25,44.5
2023-03-01,0.0,0.0,0.0,28.25,74.25
2023-04-01,0.0,0.0,0.0,23.4,33.0
2023-05-01,0.0,0.0,0.0,20.25,34.75
2023-06-01,0.0,0.0,0.0,20.0,38.0
2023-07-01,0.0,0.0,0.0,23.8,32.2
2023-08-01,0.0,0.0,0.0,28.5,31.0
2023-09-01,0.0,0.0,0.0,30.0,28.25
2023-10-01,0.0,0.0,0.0,42.8,32.4
2023-11-01,0.0,0.0,0.0,55.75,48.0
2023-12-01,0.0,0.6,0.0,65.0,45.2
2024-01-01,0.0,1.0,0.0,43.75,29.75
2024-02-01,0.0,0.25,0.0,41.5,29.5
2024-03-01,0.0,0.2,0.0,33.0,25.8
2024-04-01,0.0,0.5,0.0,30.5,19.5
2024-05-01,0.0,0.25,0.0,33.25,26.0
2024-06-01,0.0,2.0,0.0,26.0,19.8
2024-07-01,0.0,2.25,0.0,28.5,17.0
2024-08-01,0.25,3.25,0.0,37.25,17.75
2024-09-01,0.0,4.6,0.0,35.8,15.6
2024-10-01,0.25,6.0,0.25,39.25,16.75
2024-11-01,0.0,9.75,0.0,68.75,29.75
2024-12-01,0.0,10.4,0.0,84.8,30.4
2025-01-01,0.0,4.25,0.0,47.75,18.25
2025-02-01,0.0,5.0,0.0,47.5,18.25
2025-03-01,0.0,4.8,0.0,41.6,15.4
