time [UTC],Sukin,Bondi Sands,Boost Lab,CeraVe,Drunk Elephant
2021-08-01,16.0,14.0,0.0,31.0,10.0
2021-09-01,15.0,19.25,0.0,31.25,10.25
2021-10-01,14.2,21.6,0.0,26.2,8.0
2021-11-01,15.0,27.75,0.0,24.75,7.75
2021-12-01,15.75,28.75,0.0,24.5,8.25
2022-01-01,14.8,20.6,0.0,28.4,10.0
2022-02-01,13.5,16.75,0.0,32.0,8.5
2022-03-01,14.0,15.25,0.0,32.75,9.75
2022-04-01,18.0,16.5,0.0,34.0,9.25
2022-05-01,17.6,15.2,0.0,31.4,9.6
2022-06-01,15.5,16.5,0.0,37.5,10.25
2022-07-01,15.0,18.2,0.0,40.2,11.0
2022-08-01,15.75,21.25,0.0,37.75,11.0
2022-09-01,15.75,27.25,0.0,41.5,11.25
2022-10-01,13.8,29.6,0.0,38.6,14.0
2022-11-01,16.5,34.75,0.0,42.75,24.75
2022-12-01,16.75,34.75,0.0,44.0,35.5
2023-01-01,16.2,31.4,0.0,46.8,53.0
2023-02-01,15.5,23.5,0.0,44.5,34.25
2023-03-01,15.5,19.75,0.0,41.75,25.0
2023-04-01,19.4,22.2,0.0,48.0,27.8
2023-05-01,15.75,22.5,0.0,52.0,25.5
2023-06-01,17.5,24.5,0.0,51.0,27.0
2023-07-01,17.2,27.0,0.0,52.8,28.6
2023-08-01,17.25,27.25,0.0,55.5,29.5
2023-09-01,15.5,37.25,0.0,61.0,27.75
2023-10-01,16.6,32.6,0.0,53.8,27.6
2023-11-01,18.5,35.5,0.0,54.75,31.5
2023-12-01,18.0,34.0,0.0,57.4,33.4
2024-01-01,16.5,29.0,0.0,74.75,31.5
2024-02-01,14.75,21.75,0.0,55.25,19.5
2024-03-01,13.8,20.8,0.0,49.4,15.8
2024-04-01,15.0,20.0,0.0,49.25,13.75
2024-05-01,14.0,19.0,0.0,49.75,10.5
2024-06-01,13.6,19.4,0.0,46.6,9.4
2024-07-01,14.75,21.75,0.0,53.5,9.75
2024-08-01,13.25,24.0,0.0,46.25,8.75
2024-09-01,13.6,28.0,0.2,52.0,8.2
2024-10-01,14.75,27.75,0.0,48.5,9.5
2024-11-01,14.75,30.0,0.0,51.0,11.25
2024-12-01,16.8,31.0,0.0,48.0,9.6
2025-01-01,15.0,25.5,0.0,55.5,8.25
2025-02-01,14.5,21.25,0.0,46.25,6.75
2025-03-01,13.6,21.2,0.2,44.6,7.6
