time [UTC],Sukin,Frank Body,Go-To,Kiehl's,La Roche-Posay
2021-08-01,12.0,4.0,0.0,7.0,29.0
2021-09-01,11.25,4.75,0.0,7.0,30.0
2021-10-01,10.4,4.2,0.0,8.2,24.8
2021-11-01,11.25,7.5,0.0,10.5,25.5
2021-12-01,11.75,6.25,0.0,8.25,25.0
2022-01-01,10.8,4.0,0.0,4.8,26.2
2022-02-01,9.75,3.75,0.0,4.0,26.0
2022-03-01,10.25,3.5,0.0,2.25,25.25
2022-04-01,13.25,3.75,0.0,2.0,25.0
2022-05-01,13.0,3.0,0.0,2.6,27.6
2022-06-01,11.5,3.25,4.75,3.0,30.5
2022-07-01,11.4,3.6,5.8,2.6,41.8
2022-08-01,11.75,4.0,6.75,3.25,40.75
2022-09-01,11.5,3.5,6.0,4.75,47.0
2022-10-01,10.6,4.2,5.8,3.0,40.8
2022-11-01,12.0,6.75,7.75,3.25,45.25
2022-12-01,12.5,7.25,7.0,14.25,44.5
2023-01-01,12.2,4.4,4.2,1.6,43.6
2023-02-01,11.5,4.25,3.5,1.25,39.0
2023-03-01,11.25,5.0,4.0,1.25,35.25
2023-04-01,14.2,5.0,5.6,1.0,37.2
2023-05-01,11.5,5.75,4.0,1.5,43.5
2023-06-01,12.75,5.25,5.5,1.0,45.5
2023-07-01,12.6,4.2,3.8,1.4,51.6
2023-08-01,12.75,3.75,3.75,0.75,47.5
2023-09-01,11.5,4.0,3.75,1.25,53.5
2023-10-01,12.2,5.8,4.6,1.2,45.6
2023-11-01,13.5,6.75,5.75,2.0,49.5
2023-12-01,13.2,7.0,4.4,2.4,48.8
2024-01-01,12.25,4.0,3.25,3.5,67.0
2024-02-01,11.0,3.75,3.25,3.0,46.25
2024-03-01,10.4,3.4,3.0,1.0,48.2
2024-04-01,11.0,4.25,3.0,1.25,45.0
2024-05-01,10.25,3.5,3.25,1.0,49.25
2024-06-01,10.2,2.8,4.0,1.4,50.0
2024-07-01,10.75,3.75,3.0,1.75,50.75
2024-08-01,9.75,3.5,3.5,1.75,49.25
2024-09-01,9.8,4.0,3.0,3.4,56.0
2024-10-01,10.75,4.0,4.25,5.0,52.75
2024-11-01,11.0,6.25,5.5,5.5,60.0
2024-12-01,12.4,6.4,4.0,2.4,52.8
2025-01-01,11.0,3.75,3.0,1.5,60.0
2025-02-01,11.0,3.5,2.75,1.0,46.75
2025-03-01,10.0,3.0,2.8,1.4,50.0
