time [UTC],Sukin,MCoBeauty,Mecca,Mecca Cosmetica,Paula's Choice
2021-08-01,9.0,2.0,0.0,0.0,6.0
2021-09-01,8.25,3.0,0.0,0.0,6.75
2021-10-01,7.8,3.0,0.0,0.0,5.6
2021-11-01,8.0,2.75,0.0,0.0,5.25
2021-12-01,8.75,2.0,0.0,0.0,5.5
2022-01-01,8.0,1.8,0.0,0.2,6.0
2022-02-01,7.25,3.5,0.0,0.0,6.0
2022-03-01,8.0,4.75,0.0,0.25,7.5
2022-04-01,10.0,4.25,0.0,0.0,7.5
2022-05-01,9.6,3.6,0.0,0.2,6.0
2022-06-01,8.5,5.25,0.0,0.0,6.75
2022-07-01,8.4,7.4,0.0,0.2,6.6
2022-08-01,8.75,6.75,0.0,0.0,7.5
2022-09-01,8.5,5.75,0.0,0.0,7.0
2022-10-01,7.8,7.4,0.0,0.0,6.4
2022-11-01,9.0,7.25,0.0,0.0,7.75
2022-12-01,9.0,7.75,0.0,0.0,7.5
2023-01-01,8.6,9.0,0.0,0.0,7.6
2023-02-01,8.25,9.25,0.0,0.0,7.5
2023-03-01,8.5,11.0,0.0,0.0,6.75
2023-04-01,10.4,19.4,0.0,0.2,7.0
2023-05-01,8.75,21.25,0.0,0.0,7.5
2023-06-01,9.5,28.0,0.0,0.5,6.5
2023-07-01,9.4,31.2,0.0,0.2,6.8
2023-08-01,9.25,25.0,0.0,0.0,7.25
2023-09-01,8.5,28.25,0.0,0.25,7.0
2023-10-01,8.8,33.0,0.0,0.6,7.0
2023-11-01,9.75,36.0,0.0,1.0,7.75
2023-12-01,10.0,33.8,50.0,0.4,6.6
2024-01-01,9.0,25.25,41.0,0.5,7.75
2024-02-01,8.0,38.5,32.75,0.5,6.25
2024-03-01,7.6,54.0,9.0,0.0,6.6
2024-04-01,8.0,46.0,60.0,0.0,6.25
2024-05-01,7.75,39.25,21.25,0.0,7.0
2024-06-01,7.2,56.6,17.0,0.0,5.4
2024-07-01,8.0,62.25,0.25,0.0,5.25
2024-08-01,7.5,45.0,0.25,0.0,6.5
2024-09-01,7.2,46.6,33.6,0.0,6.0
2024-10-01,8.0,44.75,62.0,0.0,5.75
2024-11-01,8.0,65.0,21.5,0.0,6.0
2024-12-01,9.0,49.8,7.6,0.0,6.0
2025-01-01,8.25,32.25,39.5,0.0,5.5
2025-02-01,8.0,32.75,0.5,0.0,5.25
2025-03-01,7.2,34.2,11.0,0.2,5.4
