time [UTC],Sukin,Revolution,Soap & Glory,Software,Sol de Janeiro
2021-08-01,14.0,2.0,0.0,4.0,2.0
2021-09-01,13.0,0.5,0.25,4.0,1.0
2021-10-01,12.4,0.6,0.0,4.0,1.8
2021-11-01,13.0,0.75,0.25,4.25,2.5
2021-12-01,13.25,0.5,0.75,3.5,2.5
2022-01-01,12.6,0.4,0.8,6.2,3.0
2022-02-01,11.5,0.25,0.75,7.5,3.0
2022-03-01,12.0,1.25,0.75,7.75,3.75
2022-04-01,15.5,3.5,0.25,7.5,5.25
2022-05-01,15.0,1.2,0.4,8.0,4.4
2022-06-01,13.5,0.75,0.25,7.25,5.75
2022-07-01,13.0,0.2,0.8,8.0,7.2
2022-08-01,13.5,0.0,1.0,8.25,11.0
2022-09-01,13.5,0.0,0.5,6.5,16.0
2022-10-01,11.8,1.0,1.2,7.0,15.8
2022-11-01,14.0,0.5,2.25,6.5,31.75
2022-12-01,14.5,0.25,2.0,6.25,35.0
2023-01-01,14.2,0.2,1.2,6.2,28.2
2023-02-01,13.5,0.0,1.0,7.75,20.75
2023-03-01,13.0,0.25,0.75,8.0,17.0
2023-04-01,16.6,0.4,1.6,7.0,17.8
2023-05-01,13.5,0.25,2.0,8.5,19.75
2023-06-01,15.25,0.25,1.0,7.25,20.75
2023-07-01,15.0,3.6,1.6,8.0,22.8
2023-08-01,14.75,9.25,2.0,8.25,29.5
2023-09-01,13.5,9.75,1.5,7.5,31.0
2023-10-01,14.4,7.2,2.4,7.0,41.4
2023-11-01,15.5,9.75,3.0,6.5,71.5
2023-12-01,15.8,8.8,4.0,6.4,76.0
2024-01-01,14.25,2.0,1.75,7.0,51.5
2024-02-01,12.5,3.0,1.25,8.75,50.25
2024-03-01,11.8,5.2,2.0,8.6,41.0
2024-04-01,13.0,1.75,1.5,8.0,33.75
2024-05-01,12.0,0.75,1.5,8.75,32.25
2024-06-01,11.6,0.2,1.4,7.6,28.8
2024-07-01,12.75,1.0,1.75,9.0,31.75
2024-08-01,11.5,5.0,1.5,8.75,32.75
2024-09-01,11.6,4.0,1.4,8.0,31.6
2024-10-01,12.75,1.25,1.75,7.5,34.75
2024-11-01,12.5,3.25,3.5,6.25,54.25
2024-12-01,14.6,3.0,3.4,6.4,49.6
2025-01-01,12.75,4.5,1.75,6.5,25.0
2025-02-01,12.75,1.25,2.0,8.5,22.0
2025-03-01,11.6,0.2,1.4,8.2,20.4
