time [UTC],Sukin,The Body Shop,The Inkey List,The Ordinary,Ultra Violette
2021-08-01,12.0,39.0,4.0,44.0,0.0
2021-09-01,10.5,41.75,3.25,40.5,0.0
2021-10-01,9.8,48.0,2.0,32.2,2.8
2021-11-01,10.75,74.75,2.25,32.25,2.5
2021-12-01,11.0,82.25,1.75,27.25,2.5
2022-01-01,10.4,34.8,3.0,31.2,2.6
2022-02-01,9.5,29.5,3.25,34.25,3.0
2022-03-01,10.0,29.25,3.25,39.5,3.25
2022-04-01,13.0,30.0,3.5,43.5,3.25
2022-05-01,12.2,30.2,2.8,39.2,2.6
2022-06-01,11.25,31.25,2.75,43.5,3.0
2022-07-01,10.6,31.4,3.2,47.2,3.4
2022-08-01,11.0,34.75,3.25,46.0,7.25
2022-09-01,11.25,34.5,2.75,47.25,4.5
2022-10-01,9.8,39.6,3.2,45.2,4.2
2022-11-01,11.75,69.75,3.75,56.0,6.0
2022-12-01,11.75,81.0,3.5,48.75,5.5
2023-01-01,11.6,33.0,4.2,48.8,4.6
2023-02-01,11.25,28.5,3.25,41.75,4.5
2023-03-01,11.0,26.5,2.75,40.25,3.25
2023-04-01,13.6,26.6,2.6,48.8,3.8
2023-05-01,11.5,26.5,2.75,46.75,3.75
2023-06-01,12.25,24.5,2.5,49.75,4.0
2023-07-01,12.2,24.6,3.2,52.2,4.0
2023-08-01,12.25,25.0,3.25,55.0,4.75
2023-09-01,11.25,27.25,3.25,51.75,12.25
2023-10-01,11.8,30.6,3.2,48.6,5.0
2023-11-01,13.25,56.0,3.25,58.75,6.75
2023-12-01,13.0,65.8,2.8,53.0,7.8
2024-01-01,11.75,30.25,2.75,49.0,6.75
2024-02-01,10.25,31.0,1.75,43.25,5.0
2024-03-01,9.8,26.2,2.2,42.4,3.8
2024-04-01,10.5,25.25,2.0,44.0,3.75
2024-05-01,10.0,26.5,2.0,40.5,2.75
2024-06-01,9.4,24.4,1.0,37.2,3.6
2024-07-01,10.25,25.5,1.75,44.25,4.0
2024-08-01,9.75,23.5,1.75,41.75,4.5
2024-09-01,9.6,27.2,1.6,43.0,9.2
2024-10-01,10.75,28.75,1.75,38.75,4.75
2024-11-01,10.25,47.0,1.5,51.5,8.0
2024-12-01,11.8,54.6,1.6,46.6,6.6
2025-01-01,10.5,23.5,1.75,49.0,5.75
2025-02-01,10.5,20.75,1.0,44.75,4.25
2025-03-01,9.6,19.2,1.4,43.8,3.8
