time [UTC],Sukin,alya skin.,endota,tbh Skincare
2021-08-01,62.0,0.0,0.0,0.0
2021-09-01,57.75,0.0,0.0,0.0
2021-10-01,54.0,0.0,0.0,0.0
2021-11-01,58.25,0.0,0.0,0.0
2021-12-01,59.5,0.0,0.0,0.0
2022-01-01,56.0,0.0,0.0,0.0
2022-02-01,51.25,0.0,0.0,0.0
2022-03-01,54.0,0.0,0.0,0.0
2022-04-01,69.5,0.0,0.0,0.0
2022-05-01,66.4,0.0,0.0,0.0
2022-06-01,59.5,0.0,0.0,0.0
2022-07-01,57.4,0.0,0.0,0.0
2022-08-01,60.25,0.0,0.0,0.0
2022-09-01,59.75,0.0,0.0,0.0
2022-10-01,53.8,0.0,0.0,0.0
2022-11-01,63.0,0.0,0.0,0.0
2022-12-01,64.25,0.0,0.0,0.0
2023-01-01,62.8,0.0,0.0,0.0
2023-02-01,60.5,0.0,0.0,0.0
2023-03-01,59.0,0.0,0.0,1.5
2023-04-01,73.4,0.0,0.0,7.8
2023-05-01,60.25,0.0,0.0,7.5
2023-06-01,67.0,0.0,0.0,8.5
2023-07-01,66.2,0.0,0.0,8.8
2023-08-01,66.5,0.0,0.0,7.25
2023-09-01,59.5,0.0,0.0,5.75
2023-10-01,63.8,0.0,0.0,8.6
2023-11-01,70.75,0.0,0.0,9.25
2023-12-01,69.6,0.0,0.0,8.0
2024-01-01,63.75,0.0,0.0,9.0
2024-02-01,56.5,0.0,0.0,10.5
2024-03-01,53.2,0.0,0.0,10.2
2024-04-01,57.5,0.0,0.0,7.25
2024-05-01,53.75,0.0,0.0,7.0
2024-06-01,51.8,0.0,0.0,7.8
2024-07-01,56.5,0.0,0.0,20.75
2024-08-01,51.5,0.0,0.0,7.5
2024-09-01,51.4,0.0,0.0,6.6
2024-10-01,57.0,0.0,0.0,8.75
2024-11-01,55.75,0.0,0.0,11.25
2024-12-01,64.2,0.0,0.0,8.4
2025-01-01,57.25,0.0,0.0,13.0
2025-02-01,56.25,0.0,0.0,19.0
2025-03-01,52.0,0.0,0.0,14.4
