time [UTC],Sukin,Boost Lab,Mecca Cosmetica,alya skin.,endota
2021-08-01,14.0,1.0,11.0,0.0,24.0
2021-09-01,12.75,0.25,10.0,0.0,28.25
2021-10-01,12.0,0.0,10.8,0.0,49.4
2021-11-01,12.75,0.0,11.5,0.0,63.75
2021-12-01,13.0,0.0,14.0,0.0,83.75
2022-01-01,12.4,0.2,8.6,0.0,56.4
2022-02-01,11.5,0.0,8.0,0.0,57.0
2022-03-01,12.0,0.0,8.0,0.0,52.25
2022-04-01,15.5,0.0,9.25,0.0,53.75
2022-05-01,14.8,0.4,8.8,0.0,62.8
2022-06-01,13.25,0.0,9.5,0.0,54.5
2022-07-01,12.4,0.2,10.2,0.0,53.2
2022-08-01,13.0,0.0,10.75,0.0,55.0
2022-09-01,13.25,0.25,11.0,0.0,55.25
2022-10-01,11.6,0.2,11.2,0.0,50.6
2022-11-01,13.75,0.75,11.5,0.0,55.0
2022-12-01,14.0,0.75,15.25,0.0,79.0
2023-01-01,13.8,0.4,9.8,0.0,58.6
2023-02-01,13.5,0.5,9.0,0.0,49.75
2023-03-01,13.0,0.5,8.75,0.0,49.25
2023-04-01,16.2,1.0,9.4,0.0,50.8
2023-05-01,13.25,0.75,9.25,0.0,56.5
2023-06-01,14.5,1.5,8.0,0.0,49.5
2023-07-01,14.2,4.4,9.6,0.0,49.6
2023-08-01,14.5,4.25,9.25,0.0,47.75
2023-09-01,13.25,4.25,8.25,0.0,49.75
2023-10-01,13.8,4.0,10.8,0.0,48.0
2023-11-01,15.5,3.5,10.25,0.0,52.0
2023-12-01,15.0,2.6,10.6,0.0,77.8
2024-01-01,14.0,2.0,5.75,0.0,53.0
2024-02-01,12.25,3.75,5.5,0.0,52.25
2024-03-01,11.6,4.0,5.2,0.0,45.2
2024-04-01,12.5,4.0,5.0,0.0,52.75
2024-05-01,11.75,3.75,5.0,0.0,56.75
2024-06-01,11.6,4.2,4.8,0.0,48.4
2024-07-01,12.5,4.75,5.25,0.0,49.0
2024-08-01,11.25,4.0,4.5,0.0,46.0
2024-09-01,11.4,3.4,4.8,0.0,48.0
2024-10-01,12.75,3.5,4.5,0.0,43.25
2024-11-01,12.0,5.25,4.75,0.0,50.5
2024-12-01,14.0,4.0,5.2,0.0,75.0
2025-01-01,12.5,4.25,3.5,0.0,50.25
2025-02-01,12.25,3.5,3.5,0.0,48.75
2025-03-01,11.6,3.8,4.2,0.0,46.0
