category_name,brand_name,month,trends_index,raw_index,batch,scale_factor,stitch_flag
Skincare (Female Only),Sukin,2021-08-01,19.0,19.0,0,1.0,
Skincare (Female Only),Sukin,2021-09-01,17.5,17.5,0,1.0,
Skincare (Female Only),Sukin,2021-10-01,16.4,16.4,0,1.0,
Skincare (Female Only),Sukin,2021-11-01,17.5,17.5,0,1.0,
Skincare (Female Only),Sukin,2021-12-01,18.0,18.0,0,1.0,
Skincare (Female Only),Sukin,2022-01-01,17.0,17.0,0,1.0,
Skincare (Female Only),Sukin,2022-02-01,15.5,15.5,0,1.0,
Skincare (Female Only),Sukin,2022-03-01,16.75,16.75,0,1.0,
Skincare (Female Only),Sukin,2022-04-01,21.25,21.25,0,1.0,
Skincare (Female Only),Sukin,2022-05-01,20.6,20.6,0,1.0,
Skincare (Female Only),Sukin,2022-06-01,18.0,18.0,0,1.0,
Skincare (Female Only),Sukin,2022-07-01,17.4,17.4,0,1.0,
Skincare (Female Only),Sukin,2022-08-01,18.5,18.5,0,1.0,
Skincare (Female Only),Sukin,2022-09-01,18.25,18.25,0,1.0,
Skincare (Female Only),Sukin,2022-10-01,16.4,16.4,0,1.0,
Skincare (Female Only),Sukin,2022-11-01,19.5,19.5,0,1.0,
Skincare (Female Only),Sukin,2022-12-01,19.75,19.75,0,1.0,
Skincare (Female Only),Sukin,2023-01-01,19.2,19.2,0,1.0,
Skincare (Female Only),Sukin,2023-02-01,18.25,18.25,0,1.0,
Skincare (Female Only),Sukin,2023-03-01,18.0,18.0,0,1.0,
Skincare (Female Only),Sukin,2023-04-01,22.6,22.6,0,1.0,
Skincare (Female Only),Sukin,2023-05-01,18.25,18.25,0,1.0,
Skincare (Female Only),Sukin,2023-06-01,20.5,20.5,0,1.0,
Skincare (Female Only),Sukin,2023-07-01,20.2,20.2,0,1.0,
Skincare (Female Only),Sukin,2023-08-01,20.25,20.25,0,1.0,
Skincare (Female Only),Sukin,2023-09-01,18.0,18.0,0,1.0,
Skincare (Female Only),Sukin,2023-10-01,19.4,19.4,0,1.0,
Skincare (Female Only),Sukin,2023-11-01,21.5,21.5,0,1.0,
Skincare (Female Only),Sukin,2023-12-01,21.4,21.4,0,1.0,
Skincare (Female Only),Sukin,2024-01-01,19.75,19.75,0,1.0,
Skincare (Female Only),Sukin,2024-02-01,17.25,17.25,0,1.0,
Skincare (Female Only),Sukin,2024-03-01,16.2,16.2,0,1.0,
Skincare (Female Only),Sukin,2024-04-01,17.75,17.75,0,1.0,
Skincare (Female Only),Sukin,2024-05-01,16.5,16.5,0,1.0,
Skincare (Female Only),Sukin,2024-06-01,15.8,15.8,0,1.0,
Skincare (Female Only),Sukin,2024-07-01,17.25,17.25,0,1.0,
Skincare (Female Only),Sukin,2024-08-01,15.5,15.5,0,1.0,
Skincare (Female Only),Sukin,2024-09-01,15.6,15.6,0,1.0,
