time [UTC],Avène,SkinCeuticals,Software,The Secret Skincare,Tommi
2021-08-01,43.0,23.0,16.0,0.0,0.0
2021-09-01,40.75,28.25,16.25,0.0,0.0
2021-10-01,37.2,21.8,15.0,0.0,0.0
2021-11-01,35.25,25.0,16.5,0.0,0.0
2021-12-01,32.75,24.5,15.0,0.0,0.0
2022-01-01,38.2,23.0,25.6,0.0,0.8
2022-02-01,33.75,25.25,30.0,0.0,0.0
2022-03-01,33.75,30.25,30.25,0.0,0.0
2022-04-01,39.75,30.75,29.0,0.0,0.0
2022-05-01,35.8,28.2,31.4,0.0,0.0
2022-06-01,37.5,26.25,28.25,0.0,0.0
2022-07-01,52.4,31.0,30.8,0.0,0.0
2022-08-01,48.5,35.25,33.0,0.0,0.0
2022-09-01,45.0,28.25,26.0,0.0,1.0
2022-10-01,42.2,30.2,27.4,0.0,0.0
2022-11-01,49.25,38.0,25.75,0.0,0.0
2022-12-01,46.0,28.5,24.5,0.0,1.25
2023-01-01,46.8,25.8,24.6,1.4,0.0
2023-02-01,44.25,26.75,31.0,2.5,2.75
2023-03-01,42.5,27.0,32.25,1.0,0.0
2023-04-01,49.6,29.6,27.8,3.4,0.0
2023-05-01,61.5,33.25,32.25,2.0,0.0
2023-06-01,53.5,30.25,29.5,4.0,0.0
2023-07-01,62.6,32.8,32.4,2.2,0.0
2023-08-01,72.75,35.75,31.75,1.25,0.0
2023-09-01,73.0,33.25,29.25,1.25,0.0
2023-10-01,63.0,35.0,27.4,0.8,0.0
2023-11-01,62.0,40.75,25.75,1.0,0.0
2023-12-01,56.8,28.2,24.6,0.0,0.0
2024-01-01,74.0,25.5,28.25,0.0,0.0
2024-02-01,56.5,28.25,34.25,0.0,0.0
2024-03-01,60.0,30.0,34.6,0.0,0.0
2024-04-01,70.75,27.75,31.5,1.5,0.0
2024-05-01,63.25,28.0,35.5,0.0,0.0
2024-06-01,59.4,25.8,30.4,0.8,0.0
2024-07-01,70.75,28.0,36.0,0.0,0.0
2024-08-01,60.25,30.25,34.5,0.0,0.0
2024-09-01,67.4,31.4,31.0,0.0,0.0
2024-10-01,62.5,31.75,30.25,0.0,0.0
2024-11-01,67.5,44.0,25.25,0.0,0.0
2024-12-01,59.0,33.2,24.8,0.0,0.0
2025-01-01,70.75,33.25,26.0,0.0,0.0
2025-02-01,56.75,30.5,32.5,0.0,1.0
2025-03-01,52.0,33.2,33.0,0.0,0.0
