time [UTC],Facebook,Twitch,Twitter,X
2021-08-01,83.0,4.0,22.0,21.0
2021-09-01,85.0,4.25,21.25,21.25
2021-10-01,86.8,4.4,19.6,20.4
2021-11-01,79.5,3.25,16.25,17.75
2021-12-01,81.0,3.5,18.25,18.75
2022-01-01,72.6,4.6,17.0,19.4
2022-02-01,75.0,4.25,2.75,19.5
2022-03-01,70.5,4.0,1.0,18.75
2022-04-01,73.5,4.5,2.75,21.25
2022-05-01,70.4,4.0,4.0,18.8
2022-06-01,70.75,4.0,6.0,18.0
2022-07-01,71.8,4.0,16.6,17.6
2022-08-01,71.25,4.0,17.0,17.5
2022-09-01,71.75,4.25,17.0,17.5
2022-10-01,70.0,3.8,18.6,19.0
2022-11-01,68.75,3.25,19.0,19.75
2022-12-01,71.5,7.0,16.75,17.5
2023-01-01,70.8,3.8,14.6,17.0
2023-02-01,70.0,3.5,6.0,16.75
2023-03-01,68.25,3.0,0.5,18.25
2023-04-01,68.4,3.2,0.0,17.8
2023-05-01,66.0,3.0,0.0,16.5
2023-06-01,65.75,3.25,0.0,18.5
2023-07-01,66.6,3.0,0.0,18.0
2023-08-01,64.25,3.0,0.0,15.5
2023-09-01,66.5,3.0,0.0,15.0
2023-10-01,64.6,3.0,0.0,16.2
2023-11-01,63.0,3.0,0.0,14.75
2023-12-01,64.2,4.0,0.0,14.8
2024-01-01,62.25,3.25,0.0,14.25
2024-02-01,57.25,3.0,0.0,14.25
2024-03-01,55.8,3.0,0.4,13.6
2024-04-01,54.75,3.0,0.0,15.0
2024-05-01,52.25,3.0,0.0,13.75
2024-06-01,51.0,3.0,0.0,13.8
2024-07-01,50.0,3.0,0.0,14.5
2024-08-01,49.75,3.0,0.0,13.5
2024-09-01,50.8,3.0,0.0,13.0
2024-10-01,46.75,3.0,0.0,13.25
2024-11-01,45.25,3.25,0.0,13.25
2024-12-01,47.6,3.2,0.0,12.2
2025-01-01,46.75,3.0,0.0,13.0
2025-02-01,46.0,3.0,0.0,12.75
2025-03-01,44.0,3.0,0.0,12.0
