time [UTC],Facebook,Threads,TikTok
2021-08-01,82.0,1.0,8.0
2021-09-01,85.5,1.0,8.75
2021-10-01,86.6,1.0,8.0
2021-11-01,80.0,1.0,7.5
2021-12-01,80.75,1.0,8.25
2022-01-01,72.6,1.0,8.8
2022-02-01,74.75,1.0,8.25
2022-03-01,70.25,1.0,8.5
2022-04-01,73.0,1.0,9.5
2022-05-01,71.0,1.0,8.8
2022-06-01,71.0,1.0,9.0
2022-07-01,72.0,1.0,9.4
2022-08-01,71.5,1.0,9.25
2022-09-01,72.25,1.0,8.5
2022-10-01,70.4,1.0,8.8
2022-11-01,69.25,1.0,8.25
2022-12-01,71.5,1.0,8.5
2023-01-01,70.8,1.0,8.6
2023-02-01,70.0,1.0,8.25
2023-03-01,68.75,1.0,9.25
2023-04-01,68.6,1.0,8.6
2023-05-01,66.5,1.0,8.5
2023-06-01,66.0,1.0,8.25
2023-07-01,66.2,3.4,8.4
2023-08-01,65.0,1.0,8.25
2023-09-01,66.5,1.0,8.0
2023-10-01,64.6,1.0,8.2
2023-11-01,63.25,1.0,8.0
2023-12-01,64.0,1.0,8.0
2024-01-01,62.0,1.0,7.75
2024-02-01,57.5,1.0,7.75
2024-03-01,56.0,1.0,8.2
2024-04-01,55.25,1.0,8.25
2024-05-01,52.25,1.0,8.0
2024-06-01,51.0,1.0,8.0
2024-07-01,50.0,1.0,7.75
2024-08-01,50.0,1.0,8.0
2024-09-01,50.6,1.0,8.0
2024-10-01,47.0,1.0,8.25
2024-11-01,45.0,1.0,8.25
2024-12-01,47.6,1.0,8.4
2025-01-01,46.75,1.0,13.5
2025-02-01,46.0,1.0,8.0
2025-03-01,44.2,1.0,8.8
