time [UTC],Foot Locker,Stateside Sports,Urban Wear
2021-08-01,49.0,0.0,1.0
2021-09-01,60.0,0.0,1.0
2021-10-01,60.8,0.0,1.0
2021-11-01,72.5,0.0,1.5
2021-12-01,83.25,0.0,2.0
2022-01-01,52.2,0.0,0.8
2022-02-01,47.0,0.0,0.75
2022-03-01,50.75,0.0,1.0
2022-04-01,50.0,0.0,1.0
2022-05-01,50.0,0.0,1.0
2022-06-01,58.5,0.0,1.0
2022-07-01,59.8,0.0,1.0
2022-08-01,60.25,0.0,1.0
2022-09-01,50.75,0.0,1.0
2022-10-01,49.0,0.0,1.0
2022-11-01,64.75,0.0,1.25
2022-12-01,78.5,0.0,1.0
2023-01-01,57.0,0.0,0.8
2023-02-01,49.0,0.0,0.5
2023-03-01,49.25,0.0,0.25
2023-04-01,55.6,0.0,0.6
2023-05-01,52.75,0.0,0.25
2023-06-01,60.75,0.0,0.25
2023-07-01,55.8,0.0,0.8
2023-08-01,57.5,0.0,0.5
2023-09-01,56.25,0.0,0.75
2023-10-01,52.0,0.0,0.0
2023-11-01,67.25,0.0,0.5
2023-12-01,70.6,0.0,0.8
2024-01-01,46.0,0.0,0.25
2024-02-01,38.5,0.0,0.0
2024-03-01,45.4,0.0,0.2
2024-04-01,49.0,0.0,0.25
2024-05-01,49.0,0.0,0.0
2024-06-01,47.0,0.0,0.0
2024-07-01,50.5,0.0,0.5
2024-08-01,47.0,0.0,0.0
2024-09-01,42.2,0.0,0.0
2024-10-01,37.25,0.0,0.0
2024-11-01,48.75,0.0,0.0
2024-12-01,58.0,0.0,0.0
2025-01-01,37.0,0.0,0.0
2025-02-01,36.5,0.0,0.0
2025-03-01,34.2,0.0,0.0
