time [UTC],Foot Locker,PUSHAS,Stateside Sports
2021-08-01,49.0,1.0,1.0
2021-09-01,60.75,1.0,1.0
2021-10-01,61.2,1.0,1.6
2021-11-01,72.75,1.0,2.25
2021-12-01,82.75,1.0,3.25
2022-01-01,52.6,1.2,2.0
2022-02-01,47.5,1.0,1.75
2022-03-01,51.25,1.25,1.75
2022-04-01,49.75,1.0,1.75
2022-05-01,50.6,1.0,1.4
2022-06-01,60.25,1.25,1.0
2022-07-01,60.2,2.0,1.2
2022-08-01,61.25,2.0,1.25
2022-09-01,51.0,1.75,1.25
2022-10-01,49.2,1.8,1.0
2022-11-01,65.75,2.0,2.5
2022-12-01,78.5,2.25,3.0
2023-01-01,58.4,2.0,1.8
2023-02-01,49.5,1.75,1.5
2023-03-01,49.75,1.5,1.0
2023-04-01,55.8,1.8,1.0
2023-05-01,54.25,1.0,1.0
2023-06-01,61.25,2.0,1.25
2023-07-01,56.2,1.6,1.2
2023-08-01,58.5,1.5,1.25
2023-09-01,56.5,1.0,1.25
2023-10-01,52.2,1.0,1.6
2023-11-01,67.75,1.25,2.25
2023-12-01,71.4,1.4,2.6
2024-01-01,46.5,1.0,1.0
2024-02-01,38.75,1.0,1.0
2024-03-01,45.6,1.0,1.0
2024-04-01,49.5,1.0,1.0
2024-05-01,49.0,1.0,1.0
2024-06-01,47.6,1.0,1.6
2024-07-01,50.75,1.0,1.0
2024-08-01,47.25,1.25,1.0
2024-09-01,42.4,0.8,1.0
2024-10-01,37.25,0.25,1.5
2024-11-01,49.25,1.0,1.75
2024-12-01,58.2,0.8,2.4
2025-01-01,37.25,1.0,1.0
2025-02-01,36.75,1.0,1.25
2025-03-01,34.2,1.0,1.0
