category_name,brand_name,month,trends_index,raw_index,batch,scale_factor,stitch_flag
Streetwear,Foot Locker,2021-08-01,34.0,34.0,0,1.0,
Streetwear,Foot Locker,2021-09-01,41.0,41.0,0,1.0,
Streetwear,Foot Locker,2021-10-01,41.6,41.6,0,1.0,
Streetwear,Foot Locker,2021-11-01,49.5,49.5,0,1.0,
Streetwear,Foot Locker,2021-12-01,57.0,57.0,0,1.0,
Streetwear,Foot Locker,2022-01-01,35.6,35.6,0,1.0,
Streetwear,Foot Locker,2022-02-01,32.25,32.25,0,1.0,
Streetwear,Foot Locker,2022-03-01,34.5,34.5,0,1.0,
Streetwear,Foot Locker,2022-04-01,34.25,34.25,0,1.0,
Streetwear,Foot Locker,2022-05-01,34.2,34.2,0,1.0,
Streetwear,Foot Locker,2022-06-01,40.0,40.0,0,1.0,
Streetwear,Foot Locker,2022-07-01,40.8,40.8,0,1.0,
Streetwear,Foot Locker,2022-08-01,41.0,41.0,0,1.0,
Streetwear,Foot Locker,2022-09-01,34.75,34.75,0,1.0,
Streetwear,Foot Locker,2022-10-01,33.4,33.4,0,1.0,
Streetwear,Foot Locker,2022-11-01,44.0,44.0,0,1.0,
Streetwear,Foot Locker,2022-12-01,53.5,53.5,0,1.0,
Streetwear,Foot Locker,2023-01-01,39.0,39.0,0,1.0,
Streetwear,Foot Locker,2023-02-01,33.5,33.5,0,1.0,
Streetwear,Foot Locker,2023-03-01,33.75,33.75,0,1.0,
Streetwear,Foot Locker,2023-04-01,38.2,38.2,0,1.0,
Streetwear,Foot Locker,2023-05-01,36.25,36.25,0,1.0,
Streetwear,Foot Locker,2023-06-01,41.75,41.75,0,1.0,
Streetwear,Foot Locker,2023-07-01,38.2,38.2,0,1.0,
Streetwear,Foot Locker,2023-08-01,39.5,39.5,0,1.0,
Streetwear,Foot Locker,2023-09-01,38.5,38.5,0,1.0,
Streetwear,Foot Locker,2023-10-01,35.6,35.6,0,1.0,
Streetwear,Foot Locker,2023-11-01,46.0,46.0,0,1.0,
Streetwear,Foot Locker,2023-12-01,48.4,48.4,0,1.0,
Streetwear,Foot Locker,2024-01-01,31.75,31.75,0,1.0,
Streetwear,Foot Locker,2024-02-01,26.75,26.75,0,1.0,
Streetwear,Foot Locker,2024-03-01,31.0,31.0,0,1.0,
Streetwear,Foot Locker,2024-04-01,33.25,33.25,0,1.0,
Streetwear,Foot Locker,2024-05-01,33.5,33.5,0,1.0,
Streetwear,Foot Locker,2024-06-01,32.4,32.4,0,1.0,
Streetwear,Foot Locker,2024-07-01,34.5,34.5,0,1.0,
Streetwear,Foot Locker,2024-08-01,32.0,32.0,0,1.0,
Streetwear,Foot Locker,2024-09-01,29.0,29.0,0,1.0,
Streetwear,Foot Locker,2024-10-01,25.25,25.25,0,1.0,
Streetwear,Foot Locker,2024-11-01,33.5,33.5,0,1.0,
Streetwear,Foot Locker,2024-12-01,39.6,39.6,0,1.0,
Streetwear,Foot Locker,2025-01-01,25.25,25.25,0,1.0,
Streetwear,Foot Locker,2025-02-01,25.0,25.0,0,1.0,
Streetwear,Foot Locker,2025-03-01,23.4,23.4,0,1.0,
Streetwear,Culture Kings,2021-08-01,0.0,0.0,0,1.0,
Streetwear,Culture Kings,2021-09-01,0.0,0.0,0,1.0,
Streetwear,Culture Kings,2021-10-01,0.0,0.0,0,1.0,
Streetwear,Culture Kings,2021-11-01,9.5,9.5,0,1.0,
Streetwear,Culture Kings,2021-12-01,22.5,22.5,0,1.0,
Streetwear,Culture Kings,2022-01-01,19.8,19.8,0,1.0,
Streetwear,Culture Kings,2022-02-01,21.0,21.0,0,1.0,
Streetwear,Culture Kings,2022-03-01,22.25,22.25,0,1.0,
Streetwear,Culture Kings,2022-04-01,0.5,0.5,0,1.0,
Streetwear,Culture Kings,2022-05-01,0.8,0.8,0,1.0,
Streetwear,Culture Kings,2022-06-01,0.75,0.75,0,1.0,
Streetwear,Culture Kings,2022-07-01,0.4,0.4,0,1.0,
Streetwear,Culture Kings,2022-08-01,0.0,0.0,0,1.0,
Streetwear,Culture Kings,2022-09-01,0.0,0.0,0,1.0,
Streetwear,Culture Kings,2022-10-01,0.0,0.0,0,1.0,
Streetwear,Culture Kings,2022-11-01,0.0,0.0,0,1.0,
Streetwear,Culture Kings,2022-12-01,0.0,0.0,0,1.0,
Streetwear,Culture Kings,2023-01-01,0.0,0.0,0,1.0,
Streetwear,Culture Kings,2023-02-01,0.0,0.0,0,1.0,
Streetwear,Culture Kings,2023-03-01,0.0,0.0,0,1.0,
Streetwear,Culture Kings,2023-04-01,7.0,7.0,0,1.0,
