time [UTC],Allens,Darrell Lea,Double ‘D’,FUNDAY,Haribo
2021-08-01,18.0,0.0,0.0,0.0,13.0
2021-09-01,16.5,0.0,0.0,0.0,7.0
2021-10-01,17.6,0.0,2.0,0.0,3.4
2021-11-01,21.25,0.0,0.0,0.0,7.25
2021-12-01,17.0,2.25,1.5,0.0,8.5
2022-01-01,16.8,0.0,1.6,0.0,7.2
2022-02-01,27.75,0.0,1.75,0.0,9.5
2022-03-01,28.5,0.0,1.25,0.0,8.75
2022-04-01,23.75,0.0,2.75,0.0,13.0
2022-05-01,24.2,0.0,4.2,0.0,10.2
2022-06-01,34.75,0.0,6.5,0.0,10.25
2022-07-01,27.2,0.0,6.0,0.0,12.2
2022-08-01,17.75,0.0,5.75,0.0,12.25
2022-09-01,16.25,12.0,6.25,0.0,13.0
2022-10-01,14.6,11.6,6.2,0.0,11.8
2022-11-01,12.5,18.0,5.25,0.0,9.75
2022-12-01,9.0,24.0,4.0,0.0,6.75
2023-01-01,11.0,9.4,5.6,0.0,6.0
2023-02-01,16.0,10.5,3.25,0.0,7.5
2023-03-01,17.75,15.5,1.0,0.0,5.25
2023-04-01,12.4,17.2,1.6,0.0,3.0
2023-05-01,15.75,12.0,0.0,0.0,5.25
2023-06-01,17.25,10.5,0.0,0.0,5.0
2023-07-01,16.0,7.4,0.8,0.0,2.6
2023-08-01,17.5,14.0,0.0,0.0,4.25
2023-09-01,16.5,13.75,1.25,0.0,3.5
2023-10-01,12.8,4.0,0.0,0.0,6.4
2023-11-01,13.75,5.5,0.0,0.0,7.25
2023-12-01,13.4,20.4,1.4,0.0,4.4
2024-01-01,15.75,11.25,0.0,0.0,5.25
2024-02-01,27.0,19.5,0.0,0.0,6.75
2024-03-01,17.8,53.8,0.0,0.0,6.2
2024-04-01,26.0,27.5,1.0,0.0,7.5
2024-05-01,29.25,31.0,1.25,0.0,7.0
2024-06-01,24.0,21.2,4.2,1.4,9.2
2024-07-01,29.5,26.25,6.5,1.0,11.5
2024-08-01,23.75,38.75,6.0,0.0,10.5
2024-09-01,25.8,31.4,4.2,0.0,11.4
2024-10-01,25.5,24.5,4.0,0.0,10.75
2024-11-01,17.75,31.75,4.0,0.0,13.75
2024-12-01,9.8,44.0,3.2,0.0,9.6
2025-01-01,13.0,21.0,6.5,0.0,9.75
2025-02-01,19.75,24.0,6.25,0.0,11.25
2025-03-01,21.4,33.6,9.0,0.0,12.6
