time [UTC],Allens,Health Lab,Life Savers,Pascall,Skittles
2021-08-01,29.0,0.0,21.0,0.0,18.0
2021-09-01,27.25,0.0,25.5,4.0,19.5
2021-10-01,28.8,0.0,24.0,8.4,38.6
2021-11-01,35.0,0.0,22.5,7.5,22.0
2021-12-01,28.5,0.0,25.75,6.0,10.75
2022-01-01,27.8,0.0,31.0,2.2,10.6
2022-02-01,46.25,0.0,45.0,6.75,26.5
2022-03-01,47.25,0.0,78.5,6.75,29.0
2022-04-01,39.5,0.0,54.5,11.25,19.0
2022-05-01,40.0,0.0,55.8,12.4,17.2
2022-06-01,57.75,0.0,57.25,16.0,18.0
2022-07-01,44.6,0.0,39.8,14.6,21.2
2022-08-01,29.0,0.0,39.0,13.75,19.25
2022-09-01,27.25,0.0,48.25,13.75,17.0
2022-10-01,24.0,0.0,53.0,12.6,24.4
2022-11-01,20.5,0.0,46.25,11.75,18.0
2022-12-01,14.5,0.0,46.5,11.5,18.0
2023-01-01,18.0,0.0,45.8,8.2,13.6
2023-02-01,26.25,0.0,48.25,8.25,15.0
2023-03-01,29.0,0.0,50.0,10.25,4.5
2023-04-01,20.8,0.0,39.8,12.4,0.0
2023-05-01,26.0,0.0,43.75,14.0,0.0
2023-06-01,28.5,0.0,49.75,18.25,0.0
2023-07-01,26.6,0.0,46.8,15.4,0.0
2023-08-01,29.0,0.0,48.0,15.0,0.0
2023-09-01,27.25,0.0,49.75,14.0,0.0
2023-10-01,21.0,0.0,54.2,12.0,0.0
2023-11-01,22.75,0.0,50.25,12.0,0.0
2023-12-01,22.2,0.0,45.8,18.4,0.0
2024-01-01,25.5,0.0,46.75,8.75,0.0
2024-02-01,45.25,0.0,48.75,7.25,0.0
2024-03-01,29.4,0.0,48.4,9.6,0.0
2024-04-01,42.5,0.0,46.75,8.0,0.0
2024-05-01,48.5,0.0,46.75,12.25,0.0
2024-06-01,40.0,0.0,50.2,13.2,0.0
2024-07-01,48.75,0.0,48.75,13.75,0.0
2024-08-01,39.25,0.0,52.0,8.75,0.0
2024-09-01,42.4,0.0,47.6,8.6,1.4
2024-10-01,42.0,0.0,46.0,9.25,0.0
2024-11-01,29.25,0.0,52.0,6.0,0.0
2024-12-01,16.4,0.0,53.8,9.6,0.0
2025-01-01,21.25,0.0,47.25,1.75,0.0
2025-02-01,32.5,0.0,48.0,9.5,0.0
2025-03-01,35.2,0.0,39.0,8.4,0.0
