time [UTC],Allens,Sour Patch,The Natural Confectionery Co.,Well Naturally
2021-08-01,29.0,27.0,7.0,0.0
2021-09-01,27.25,23.25,2.5,0.0
2021-10-01,28.8,24.8,8.4,1.6
2021-11-01,35.0,23.75,7.75,2.25
2021-12-01,28.5,17.75,0.0,2.25
2022-01-01,27.8,18.2,4.6,0.0
2022-02-01,46.25,18.75,9.75,1.75
2022-03-01,47.25,20.5,6.25,6.0
2022-04-01,39.5,18.25,4.25,3.25
2022-05-01,40.0,22.6,3.0,4.2
2022-06-01,57.75,29.5,11.25,4.25
2022-07-01,44.6,25.8,7.2,8.2
2022-08-01,29.0,27.0,9.75,9.25
2022-09-01,27.25,24.5,9.25,3.25
2022-10-01,24.0,27.0,10.0,7.2
2022-11-01,20.5,33.0,7.25,4.0
2022-12-01,14.5,28.0,5.0,0.0
2023-01-01,18.0,28.4,7.6,3.4
2023-02-01,26.25,26.5,3.75,3.5
2023-03-01,29.0,25.25,6.25,5.25
2023-04-01,20.8,25.6,7.4,1.6
2023-05-01,26.0,25.25,21.0,6.5
2023-06-01,28.5,28.0,23.5,8.75
2023-07-01,26.6,22.0,24.0,4.0
2023-08-01,29.0,29.5,24.75,0.0
2023-09-01,27.25,28.5,24.0,6.25
2023-10-01,21.0,26.8,25.4,2.6
2023-11-01,22.75,28.75,20.25,1.75
2023-12-01,22.2,24.6,20.4,1.4
2024-01-01,25.5,22.0,20.75,5.25
2024-02-01,45.25,23.0,19.25,0.0
2024-03-01,29.4,31.2,24.6,4.8
2024-04-01,42.5,30.0,28.25,0.0
2024-05-01,48.5,33.0,26.0,4.0
2024-06-01,40.0,29.8,18.6,1.6
2024-07-01,48.75,30.5,24.5,2.0
2024-08-01,39.25,28.0,25.0,3.5
2024-09-01,42.4,28.6,23.2,6.4
2024-10-01,42.0,26.5,24.25,5.0
2024-11-01,29.25,27.5,24.0,0.0
2024-12-01,16.4,23.8,19.8,0.0
2025-01-01,21.25,20.25,19.25,0.0
2025-02-01,32.5,21.25,21.25,1.75
2025-03-01,35.2,33.0,18.0,3.6
