time [UTC],Allens,FUNDAY,Health Lab
2021-08-01,29.0,0.0,14.0
2021-09-01,27.25,8.5,19.25
2021-10-01,28.8,5.6,20.4
2021-11-01,35.0,8.5,18.25
2021-12-01,28.5,3.25,15.5
2022-01-01,27.4,5.8,19.6
2022-02-01,46.5,9.5,20.0
2022-03-01,47.25,8.75,17.25
2022-04-01,39.25,10.25,16.25
2022-05-01,40.0,11.6,20.2
2022-06-01,57.75,14.5,16.25
2022-07-01,44.8,13.0,20.6
2022-08-01,29.25,19.25,20.0
2022-09-01,27.25,17.0,19.0
2022-10-01,24.2,15.6,21.4
2022-11-01,20.5,12.75,16.75
2022-12-01,14.5,10.0,14.5
2023-01-01,18.0,14.4,19.2
2023-02-01,26.25,13.75,20.75
2023-03-01,29.0,12.0,18.25
2023-04-01,20.8,14.0,21.4
2023-05-01,26.0,17.0,19.5
2023-06-01,29.0,17.0,22.25
2023-07-01,26.6,18.4,23.6
2023-08-01,29.25,19.5,20.75
2023-09-01,27.25,18.75,18.75
2023-10-01,20.8,26.4,19.2
2023-11-01,22.75,20.25,20.25
2023-12-01,22.2,19.8,16.6
2024-01-01,25.75,20.75,21.5
2024-02-01,44.75,23.75,24.5
2024-03-01,29.4,22.8,22.6
2024-04-01,42.75,30.25,20.25
2024-05-01,48.25,35.75,21.5
2024-06-01,40.0,36.4,16.6
2024-07-01,49.0,31.0,20.75
2024-08-01,39.0,32.25,22.5
2024-09-01,42.4,29.2,23.0
2024-10-01,42.0,31.75,29.5
2024-11-01,29.25,28.25,23.25
2024-12-01,16.4,26.2,20.2
2025-01-01,21.25,30.75,24.75
2025-02-01,32.75,43.5,26.75
2025-03-01,35.2,41.4,26.2
