time [UTC],Chobani,Dairy Farmers,Danone,Gippsland Dairy,Nakula
2021-08-01,66.0,0.0,6.0,0.0,0.0
2021-09-01,49.75,0.0,3.75,0.0,0.0
2021-10-01,47.2,0.0,0.0,0.0,0.0
2021-11-01,37.25,1.5,0.0,0.0,0.0
2021-12-01,29.5,0.0,0.0,1.5,0.0
2022-01-01,45.4,1.4,3.6,1.2,0.0
2022-02-01,48.75,0.0,4.75,0.0,0.0
2022-03-01,46.0,1.25,5.25,0.0,0.0
2022-04-01,38.75,0.0,7.75,1.0,0.0
2022-05-01,45.2,0.0,6.0,2.0,0.0
2022-06-01,46.5,0.0,1.75,0.0,0.0
2022-07-01,48.2,0.0,3.4,1.0,0.0
2022-08-01,48.75,0.0,6.75,1.5,0.0
2022-09-01,46.5,0.0,4.75,0.0,0.0
2022-10-01,49.2,1.2,4.2,1.0,0.0
2022-11-01,44.25,1.5,1.75,1.5,0.0
2022-12-01,35.5,0.0,0.0,0.0,0.0
2023-01-01,50.4,1.2,1.0,1.0,0.0
2023-02-01,65.25,0.0,1.5,0.0,1.5
2023-03-01,57.75,0.0,5.0,2.5,0.0
2023-04-01,55.6,0.0,6.0,1.4,0.0
2023-05-01,57.5,0.0,1.25,2.75,0.0
2023-06-01,56.5,0.0,5.75,0.0,0.0
2023-07-01,57.8,0.0,5.0,0.0,0.0
2023-08-01,56.75,0.0,5.25,0.0,0.0
2023-09-01,52.0,0.0,6.0,1.25,0.0
2023-10-01,62.2,0.0,7.4,1.0,0.0
2023-11-01,57.5,0.0,5.0,1.5,0.0
2023-12-01,44.4,1.0,1.4,0.0,0.0
2024-01-01,73.5,0.0,9.25,0.0,0.0
2024-02-01,71.0,0.0,9.0,0.0,0.0
2024-03-01,62.0,0.0,7.0,1.4,0.0
2024-04-01,62.25,0.0,4.0,0.0,0.0
2024-05-01,65.0,0.0,8.25,0.0,0.0
2024-06-01,67.2,0.0,6.0,1.0,0.0
2024-07-01,75.75,0.0,8.0,1.25,0.0
2024-08-01,74.75,0.0,9.25,1.25,0.0
2024-09-01,71.2,1.2,8.6,1.2,0.0
2024-10-01,79.75,0.0,7.75,3.5,0.0
2024-11-01,70.25,0.0,4.5,0.0,0.0
2024-12-01,56.0,0.0,1.8,2.8,0.0
2025-01-01,90.5,2.0,4.25,2.75,0.0
2025-02-01,91.0,0.0,6.0,2.75,0.0
2025-03-01,90.2,0.0,8.8,1.0,0.0
