time [UTC],Chobani,Tamar Valley,Ultimate,Vaalia,Vitasoy
2021-08-01,66.0,10.0,0.0,16.0,6.0
2021-09-01,49.75,7.5,0.0,16.75,6.25
2021-10-01,47.2,8.6,0.0,10.0,12.8
2021-11-01,37.25,1.5,1.5,2.25,14.5
2021-12-01,29.5,0.0,1.5,0.0,10.5
2022-01-01,45.4,3.6,0.0,2.8,18.0
2022-02-01,48.75,4.25,1.0,3.75,21.0
2022-03-01,46.0,6.5,0.0,6.0,19.25
2022-04-01,38.75,5.75,0.0,6.25,16.75
2022-05-01,45.2,4.8,1.0,8.8,17.0
2022-06-01,46.5,7.0,0.0,5.25,19.5
2022-07-01,48.2,6.2,0.0,7.4,21.8
2022-08-01,48.75,7.0,0.0,8.5,23.25
2022-09-01,46.5,1.75,0.0,7.25,19.25
2022-10-01,49.2,3.8,0.0,7.8,18.2
2022-11-01,44.25,5.25,1.5,7.0,19.25
2022-12-01,35.5,5.0,0.0,4.5,16.25
2023-01-01,50.4,4.6,0.0,7.6,21.6
2023-02-01,65.25,6.0,1.75,9.25,23.75
2023-03-01,57.75,7.75,0.0,7.75,23.0
2023-04-01,55.6,5.4,1.2,6.0,20.6
2023-05-01,57.5,5.25,0.0,5.5,19.0
2023-06-01,56.5,2.75,0.0,8.5,18.0
2023-07-01,57.8,2.4,0.0,7.6,15.6
2023-08-01,56.75,7.5,0.0,8.0,22.75
2023-09-01,52.0,7.75,1.25,8.25,21.75
2023-10-01,62.2,5.0,0.0,9.2,19.0
2023-11-01,57.5,4.75,0.0,3.0,19.0
2023-12-01,44.4,3.8,0.0,4.4,19.8
2024-01-01,73.5,5.25,0.0,5.0,28.0
2024-02-01,71.0,4.25,0.0,6.25,25.75
2024-03-01,62.0,5.4,0.0,6.4,23.2
2024-04-01,62.25,7.0,0.0,0.0,21.5
2024-05-01,65.0,6.25,0.0,7.5,15.0
2024-06-01,67.2,5.0,0.0,3.0,16.0
2024-07-01,75.75,3.25,0.0,9.75,20.5
2024-08-01,74.75,3.5,1.5,5.25,22.0
2024-09-01,71.2,7.0,0.0,7.2,20.2
2024-10-01,79.75,9.5,0.0,9.0,21.5
2024-11-01,70.25,5.5,0.0,5.0,18.0
2024-12-01,56.0,4.6,0.0,1.4,15.0
2025-01-01,90.5,8.25,0.0,8.5,20.0
2025-02-01,91.0,9.0,0.0,8.0,19.25
2025-03-01,90.2,8.2,0.0,5.4,21.6
