time [UTC],Chobani,Yakult,YoPro,five:am organic
2021-08-01,66.0,47.0,30.0,0.0
2021-09-01,49.75,36.75,29.25,0.0
2021-10-01,47.2,35.8,26.2,0.0
2021-11-01,37.25,34.25,22.5,0.0
2021-12-01,29.5,31.0,15.5,0.0
2022-01-01,45.4,41.4,34.0,0.0
2022-02-01,48.75,41.25,36.0,0.0
2022-03-01,46.0,43.5,36.0,0.0
2022-04-01,38.75,46.25,27.5,0.0
2022-05-01,45.2,45.4,27.2,0.0
2022-06-01,46.5,51.75,27.25,0.0
2022-07-01,48.2,50.2,31.4,0.0
2022-08-01,48.75,47.25,29.0,0.0
2022-09-01,46.5,46.5,30.5,0.0
2022-10-01,49.2,49.6,32.8,1.0
2022-11-01,44.25,42.0,33.25,0.0
2022-12-01,35.5,42.75,23.0,0.0
2023-01-01,50.4,53.2,33.8,0.0
2023-02-01,65.25,52.75,38.0,0.0
2023-03-01,57.75,51.5,38.25,0.0
2023-04-01,55.6,50.6,30.2,0.0
2023-05-01,57.5,58.0,28.0,0.0
2023-06-01,56.5,55.25,31.0,0.0
2023-07-01,57.8,56.4,38.0,0.0
2023-08-01,56.75,59.5,42.25,0.0
2023-09-01,52.0,54.0,44.5,0.0
2023-10-01,62.2,55.4,47.0,0.0
2023-11-01,57.5,48.0,32.5,0.0
2023-12-01,44.4,53.6,23.6,0.0
2024-01-01,73.5,54.75,43.25,0.0
2024-02-01,71.0,55.75,41.0,0.0
2024-03-01,62.0,55.2,30.0,0.0
2024-04-01,62.25,62.25,40.0,0.0
2024-05-01,65.0,63.5,40.75,0.0
2024-06-01,67.2,60.0,36.6,0.0
2024-07-01,75.75,62.5,36.25,0.0
2024-08-01,74.75,65.25,46.0,1.5
2024-09-01,71.2,60.8,47.4,0.0
2024-10-01,79.75,62.0,47.0,0.0
2024-11-01,70.25,51.75,43.75,0.0
2024-12-01,56.0,58.0,33.4,0.0
2025-01-01,90.5,64.25,71.5,0.0
2025-02-01,91.0,59.0,67.5,0.0
2025-03-01,90.2,57.4,56.4,0.0
